"","1","2","3","4","5"
"3e36",0.00525323098390806,0,0,0,0
"人力",0.00166734297322671,0.00365739748965859,0,0,0.00200262389719078
"人工",0.00525323098390806,0,0,0,0
"人員",0.00166734297322671,0.0018286987448293,0,0.00180187186837703,0
"人數",0.00525323098390806,0,0,0,0
"上述",0.00525323098390806,0,0,0,0
"小小",0.00525323098390806,0,0,0,0
"工均",0.00525323098390806,0,0,0,0
"丑掩",0.00525323098390806,0,0,0,0
"不大",0.00525323098390806,0,0,0,0
"不可",0.00525323098390806,0,0,0,0
"不同",0.000728344106080005,0,0.00086539810453592,0.00157422051289664,0.00087480460567218
"不便",0.00525323098390806,0,0,0,0
"不便險",0.00525323098390806,0,0,0,0
"中介",0.00525323098390806,0,0,0,0
"中間",0.00525323098390806,0,0,0,0
"中轉",0.0157596929517242,0,0,0,0
"丹此",0.00525323098390806,0,0,0,0
"之冠",0.00525323098390806,0,0,0,0
"互通",0.00299078754499403,0,0,0,0.00359219591002001
"仇成",0.00525323098390806,0,0,0,0
"仇過",0.00525323098390806,0,0,0,0
"仍得",0.00525323098390806,0,0,0,0
"公雲明",0.00525323098390806,0,0,0,0
"公證人",0.00598157508998807,0,0,0,0.00359219591002001
"分享",0.00299078754499403,0,0,0.00323209803150944,0
"手續",0.00299078754499403,0,0,0,0.00359219591002001
"支出",0.00299078754499403,0,0,0,0.00359219591002001
"方式",0.00299078754499403,0,0,0,0.00718439182004001
"方便",0.00525323098390806,0,0,0,0
"主動",0.00525323098390806,0,0,0,0
"以太",0.00299078754499403,0,0,0,0.00359219591002001
"付款",0.0105064619678161,0,0,0,0
"令人",0.00299078754499403,0.00328021859773539,0,0,0
"出險",0.00299078754499403,0,0,0,0.00359219591002001
"可分",0.00525323098390806,0,0,0,0
"可信任",0.00525323098390806,0,0,0,0
"可追蹤",0.00525323098390806,0,0,0,0
"可望",0.00598157508998807,0,0.00355357014754667,0,0
"可達",0.00299078754499403,0.00328021859773539,0,0,0
"另奶個",0.00525323098390806,0,0,0,0
"它炭",0.00525323098390806,0,0,0,0
"市場",0.000728344106080005,0.00239648705871486,0.00173079620907184,0,0.00087480460567218
"布達",0.00299078754499403,0,0,0,0.00359219591002001
"平台",0.00833671486613355,0,0.0019810903068984,0,0.0100131194859539
"平均",0.00299078754499403,0,0,0.00646419606301889,0
"幼纂",0.00525323098390806,0,0,0,0
"未能",0.00525323098390806,0,0,0,0
"民眾",0.00166734297322671,0,0,0.00180187186837703,0.00400524779438156
"生態",0.00525323098390806,0,0,0,0
"申保",0.00525323098390806,0,0,0,0
"申請",0.00666937189290684,0,0,0.00180187186837703,0.00200262389719078
"申賠",0.00525323098390806,0,0,0,0
"目前",0.000728344106080005,0.000798829019571619,0.0043269905226796,0.000787110256448319,0
"交易",0.0105064619678161,0,0,0,0
"全球",0.00525323098390806,0,0,0,0
"再將",0.00525323098390806,0,0,0,0
"各方",0.00525323098390806,0,0,0,0
"各類",0.00299078754499403,0,0.00710714029509335,0,0
"地區",0.00525323098390806,0,0,0,0
"好處",0.00525323098390806,0,0,0,0
"安全性",0.00299078754499403,0,0.00355357014754667,0,0
"忖謔",0.00525323098390806,0,0,0,0
"成本",0.00364172053040003,0.00159765803914324,0,0.000787110256448319,0.00174960921134436
"成員",0.00525323098390806,0,0,0,0
"收款",0.00525323098390806,0,0,0,0
"收款人",0.0105064619678161,0,0,0,0
"旬霂延",0.00525323098390806,0,0,0,0
"有助於",0.0089723626349821,0,0,0,0.00359219591002001
"有效",0.00299078754499403,0,0,0.00323209803150944,0
"有過",0.00525323098390806,0,0,0,0
"此幼",0.00525323098390806,0,0,0,0
"池頃",0.00525323098390806,0,0,0,0
"自動",0.00145668821216001,0.000798829019571619,0.00778858294082328,0,0.00087480460567218
"自動化",0.00145668821216001,0.000798829019571619,0.00173079620907184,0,0.00087480460567218
"至今",0.00525323098390806,0,0,0,0
"至國",0.00525323098390806,0,0,0,0
"行先將",0.00525323098390806,0,0,0,0
"免去",0.00525323098390806,0,0,0,0
"即時",0.00299078754499403,0,0,0,0.00359219591002001
"吸引",0.00166734297322671,0,0.0019810903068984,0,0.00200262389719078
"投入",0.00299078754499403,0,0.00710714029509335,0,0
"投保",0.00299078754499403,0,0,0,0.00359219591002001
"改善",0.00299078754499403,0.00328021859773539,0,0,0
"改變",0.00598157508998807,0,0,0.00323209803150944,0
"更具",0.00299078754499403,0,0,0,0.00359219591002001
"每筆",0.00525323098390806,0,0,0,0
"角色",0.00525323098390806,0,0,0,0
"並且",0.0105064619678161,0,0,0,0
"並未",0.00525323098390806,0,0,0,0
"並非",0.00299078754499403,0,0,0,0.00359219591002001
"使用",0.000728344106080005,0.000798829019571619,0,0.00157422051289664,0.00087480460567218
"具備",0.00525323098390806,0,0,0,0
"其中",0.0105064619678161,0,0,0,0
"其他",0.00166734297322671,0,0,0.0054056156051311,0.00400524779438156
"到帳",0.00525323098390806,0,0,0,0
"協同",0.00166734297322671,0,0,0.00180187186837703,0.00200262389719078
"協助",0.00598157508998807,0.00328021859773539,0,0,0
"取消",0.00525323098390806,0,0,0,0
"取得",0.00525323098390806,0,0,0,0
"受到",0.00299078754499403,0,0.00355357014754667,0,0
"延遙",0.00525323098390806,0,0,0,0
"或謂",0.00525323098390806,0,0,0,0
"所在",0.00525323098390806,0,0,0,0
"所在地",0.0105064619678161,0,0,0,0
"服務商",0.00299078754499403,0,0.00355357014754667,0,0
"法定",0.0105064619678161,0,0,0,0
"爭相",0.00525323098390806,0,0,0,0
"直接",0.00299078754499403,0,0,0.00323209803150944,0
"近幾式",0.00525323098390806,0,0,0,0
"金流",0.00525323098390806,0,0,0,0
"金融",0.00333468594645342,0,0,0.0216224624205244,0.0240314867662893
"金融機構",0.00299078754499403,0,0,0.00646419606301889,0
"金額",0.00666937189290684,0,0,0.00180187186837703,0.00400524779438156
"信匯",0.00525323098390806,0,0,0,0
"保戶",0.00333468594645342,0.0018286987448293,0,0,0.00400524779438156
"保費",0.00299078754499403,0,0,0,0.00718439182004001
"保險",0.00509840874256004,0.00239648705871486,0,0.000787110256448319,0.0087480460567218
"保險公司",0.011671400812587,0.00365739748965859,0,0,0.0100131194859539
"則可",0.00525323098390806,0,0,0,0
"契約",0.00598157508998807,0,0,0,0.01077658773006
"建立",0.00598157508998807,0,0,0.00323209803150944,0
"持續",0.00525323098390806,0,0,0,0
"既有",0.00525323098390806,0,0,0,0
"是尹",0.00525323098390806,0,0,0,0
"查核",0.00525323098390806,0,0,0,0
"查勘",0.00299078754499403,0,0,0,0.00359219591002001
"流失",0.00525323098390806,0,0,0,0
"流窗",0.00525323098390806,0,0,0,0
"流筐",0.00525323098390806,0,0,0,0
"流筏",0.00299078754499403,0,0,0,0.00359219591002001
"為主",0.00166734297322671,0.0018286987448293,0.0019810903068984,0,0
"為例",0.00218503231824002,0.00159765803914324,0,0.00157422051289664,0.00087480460567218
"牯上",0.00525323098390806,0,0,0,0
"省力",0.00525323098390806,0,0,0,0
"省時",0.00525323098390806,0,0,0,0
"相關",0.00218503231824002,0.00159765803914324,0,0.00157422051289664,0.00262441381701654
"看出",0.00525323098390806,0,0,0,0
"研究",0.00299078754499403,0,0,0.00323209803150944,0
"紀錄",0.00333468594645342,0,0.0019810903068984,0,0.00600787169157233
"美元",0.00299078754499403,0.00656043719547078,0,0,0
"計算",0.00299078754499403,0,0,0,0.00359219591002001
"負責",0.00525323098390806,0,0,0,0
"降低",0.00500202891968013,0.00365739748965859,0,0,0.00200262389719078
"乘客",0.00166734297322671,0.0018286987448293,0.0019810903068984,0,0
"原朽",0.00525323098390806,0,0,0,0
"息息相關",0.00299078754499403,0,0,0,0.00359219591002001
"效益",0.00299078754499403,0,0,0,0.00359219591002001
"效率",0.00166734297322671,0.0018286987448293,0,0,0.00200262389719078
"旅行",0.0105064619678161,0,0,0,0
"旅客",0.0105064619678161,0,0,0,0
"核保",0.00525323098390806,0,0,0,0
"核賠",0.00299078754499403,0,0,0,0.00359219591002001
"案件",0.00598157508998807,0,0,0,0.00359219591002001
"案例",0.00299078754499403,0.00328021859773539,0,0,0
